:START_ID(Client),:END_ID(Service),:TYPE
client-wells-fl,srv-grading-excavation,OFFERS_SERVICE
client-wells-fl,srv-base-installation,OFFERS_SERVICE
client-wells-fl,srv-subgrade-stabilization,OFFERS_SERVICE
client-wells-fl,srv-drainage-installation,OFFERS_SERVICE
client-wells-fl,srv-demolition-removal,OFFERS_SERVICE
client-wells-fl,srv-parking-lot-striping,OFFERS_SERVICE
client-wells-fl,srv-roadway-striping,OFFERS_SERVICE
client-wells-fl,srv-thermoplastic-marking,OFFERS_SERVICE
client-wells-fl,srv-ada-compliance-marking,OFFERS_SERVICE
client-wells-fl,srv-annual-maintenance-residential,OFFERS_SERVICE
client-wells-fl,srv-commercial-maintenance-program,OFFERS_SERVICE
client-wells-fl,srv-municipal-pavement-management,OFFERS_SERVICE
client-wells-fl,srv-airport-paving,OFFERS_SERVICE
client-wells-fl,srv-industrial-heavy-duty-paving,OFFERS_SERVICE
client-wells-fl,srv-bike-path-trail-paving,OFFERS_SERVICE
client-wells-fl,srv-sports-facility-paving,OFFERS_SERVICE
client-wells-fl,srv-cold-climate-paving,OFFERS_SERVICE
client-wells-fl,srv-hot-climate-paving,OFFERS_SERVICE
client-wells-fl,srv-coastal-hurricane-zone-paving,OFFERS_SERVICE
client-wells-fl,srv-emergency-asphalt-repair,OFFERS_SERVICE
client-wells-fl,srv-utility-cut-repair,OFFERS_SERVICE
client-wells-fl,srv-sinkhole-repair,OFFERS_SERVICE
client-wells-fl,srv-surface-cleaning-sweeping,OFFERS_SERVICE
